table value,free-free value,ratio,frequency(Hz),temperature(K),density(g/cm3)
0.0331848,5.10208e-08,650417,7.64641e+15,9283.61,7.7426e-08
0.00782312,9.07318e-09,862225,1.35973e+16,9283.61,7.7426e-08
0.00173318,1.61345e-09,1.07421e+06,2.41799e+16,9283.61,7.7426e-08
0.000365575,2.86907e-10,1.27419e+06,4.29991e+16,9283.61,7.7426e-08
8.50215e-05,5.10208e-11,1.66641e+06,7.64641e+16,9283.61,7.7426e-08
2.98748e-05,9.07318e-12,3.29265e+06,1.35973e+17,9283.61,7.7426e-08
8.52693e-06,1.61345e-12,5.28489e+06,2.41799e+17,9283.61,7.7426e-08
1.91227e-06,2.86907e-13,6.66511e+06,4.29991e+17,9283.61,7.7426e-08
4.71137e-07,5.10208e-14,9.23422e+06,7.64641e+17,9283.61,7.7426e-08
9.3608e-08,9.07318e-15,1.0317e+07,1.35973e+18,9283.61,7.7426e-08
4.7072e-06,0.00192032,0.00245126,2.41799e+14,9283.61,1e-07
2.501e-05,0.000426764,0.0586038,4.29991e+14,9283.61,1e-07
0.00053666,8.34746e-05,6.42902,7.64641e+14,9283.61,1e-07
0.00012057,1.51217e-05,7.9733,1.35973e+15,9283.61,1e-07
1.8729,2.69142e-06,695878,2.41799e+15,9283.61,1e-07
0.11091,4.78595e-07,231741,4.29991e+15,9283.61,1e-07
0.04293,8.51086e-08,504414,7.64641e+15,9283.61,1e-07
0.010118,1.51351e-08,668511,1.35973e+16,9283.61,1e-07
0.0022409,2.69143e-09,832606,2.41799e+16,9283.61,1e-07
0.00047265,4.78595e-10,987579,4.29991e+16,9283.61,1e-07
0.0001098,8.51086e-11,1.29012e+06,7.64641e+16,9283.61,1e-07
3.8606e-05,1.51351e-11,2.55076e+06,1.35973e+17,9283.61,1e-07
1.1014e-05,2.69143e-12,4.09225e+06,2.41799e+17,9283.61,1e-07
2.47e-06,4.78595e-13,5.16095e+06,4.29991e+17,9283.61,1e-07
6.0852e-07,8.51086e-14,7.14992e+06,7.64641e+17,9283.61,1e-07
1.2091e-07,1.51351e-14,7.9887e+06,1.35973e+18,9283.61,1e-07
6.3175e-06,0.00320304,0.00197234,2.41799e+14,9283.61,1.2915e-07
3.31554e-05,0.000711831,0.0465776,4.29991e+14,9283.61,1.2915e-07
0.000679432,0.000139233,4.87981,7.64641e+14,9283.61,1.2915e-07
0.000157188,2.52226e-05,6.23205,1.35973e+15,9283.61,1.2915e-07
2.45824,4.48921e-06,547589,2.41799e+15,9283.61,1.2915e-07
0.143434,7.98282e-07,179678,4.29991e+15,9283.61,1.2915e-07
0.0555616,1.41959e-07,391393,7.64641e+15,9283.61,1.2915e-07
0.0130894,2.5245e-08,518494,1.35973e+16,9283.61,1.2915e-07
0.00289813,4.48923e-09,645573,2.41799e+16,9283.61,1.2915e-07
0.000611228,7.98282e-10,765679,4.29991e+16,9283.61,1.2915e-07
0.000141768,1.41959e-10,998655,7.64641e+16,9283.61,1.2915e-07
4.98945e-05,2.5245e-11,1.97642e+06,1.35973e+17,9283.61,1.2915e-07
1.42272e-05,4.48923e-12,3.16918e+06,2.41799e+17,9283.61,1.2915e-07
3.19039e-06,7.98282e-13,3.99657e+06,4.29991e+17,9283.61,1.2915e-07
7.85955e-07,1.41959e-13,5.5365e+06,7.64641e+17,9283.61,1.2915e-07
1.56155e-07,2.5245e-14,6.1856e+06,1.35973e+18,9283.61,1.2915e-07
8.55702e-06,0.0053434,0.00160142,2.41799e+14,9283.61,1.6681e-07
4.42497e-05,0.0011875,0.037263,4.29991e+14,9283.61,1.6681e-07
0.000854751,0.000232273,3.67994,7.64641e+14,9283.61,1.6681e-07
0.000205493,4.2077e-05,4.88374,1.35973e+15,9283.61,1.6681e-07
3.24062,7.48903e-06,432716,2.41799e+15,9283.61,1.6681e-07
0.185576,1.33172e-06,139351,4.29991e+15,9283.61,1.6681e-07
0.0719602,2.3682e-07,303861,7.64641e+15,9283.61,1.6681e-07
0.0169429,4.21143e-08,402307,1.35973e+16,9283.61,1.6681e-07
0.00374989,7.48905e-09,500716,2.41799e+16,9283.61,1.6681e-07
0.000790813,1.33172e-09,593830,4.29991e+16,9283.61,1.6681e-07
0.000183057,2.3682e-10,772982,7.64641e+16,9283.61,1.6681e-07
6.45021e-05,4.21143e-11,1.53159e+06,1.35973e+17,9283.61,1.6681e-07
1.83808e-05,7.48905e-12,2.45435e+06,2.41799e+17,9283.61,1.6681e-07
4.12137e-06,1.33172e-12,3.09478e+06,4.29991e+17,9283.61,1.6681e-07
1.01521e-06,2.3682e-13,4.28683e+06,7.64641e+17,9283.61,1.6681e-07
2.01707e-07,4.21143e-14,4.7895e+06,1.35973e+18,9283.61,1.6681e-07
1.17143e-05,0.00891305,0.00131429,2.41799e+14,9283.61,2.1544e-07
5.95304e-05,0.0019808,0.0300537,4.29991e+14,9283.61,2.1544e-07
0.00106593,0.000387442,2.7512,7.64641e+14,9283.61,2.1544e-07
0.000269515,7.01865e-05,3.83999,1.35973e+15,9283.61,2.1544e-07
4.29501,1.24921e-05,343820,2.41799e+15,9283.61,2.1544e-07
0.240216,2.22137e-06,108139,4.29991e+15,9283.61,2.1544e-07
0.0932661,3.95027e-07,236101,7.64641e+15,9283.61,2.1544e-07
0.0219447,7.02487e-08,312386,1.35973e+16,9283.61,2.1544e-07
0.00485429,1.24921e-08,388589,2.41799e+16,9283.61,2.1544e-07
0.0010236,2.22137e-09,460797,4.29991e+16,9283.61,2.1544e-07
0.000236359,3.95027e-10,598338,7.64641e+16,9283.61,2.1544e-07
8.34054e-05,7.02487e-11,1.18729e+06,1.35973e+17,9283.61,2.1544e-07
2.37458e-05,1.24921e-11,1.90086e+06,2.41799e+17,9283.61,2.1544e-07
5.32374e-06,2.22137e-12,2.3966e+06,4.29991e+17,9283.61,2.1544e-07
1.3113e-06,3.95027e-13,3.31952e+06,7.64641e+17,9283.61,2.1544e-07
2.60553e-07,7.02487e-14,3.70901e+06,1.35973e+18,9283.61,2.1544e-07
1.62359e-05,0.0148688,0.00109195,2.41799e+14,9283.61,2.7826e-07
8.08568e-05,0.00330438,0.0244696,4.29991e+14,9283.61,2.7826e-07
0.0013133,0.000646332,2.03193,7.64641e+14,9283.61,2.7826e-07
0.000354948,0.000117085,3.03154,1.35973e+15,9283.61,2.7826e-07
5.72993,2.08393e-05,274958,2.41799e+15,9283.61,2.7826e-07
0.311178,3.70569e-06,83973,4.29991e+15,9283.61,2.7826e-07
0.121007,6.58984e-07,183626,7.64641e+15,9283.61,2.7826e-07
0.0284465,1.17189e-07,242740,1.35973e+16,9283.61,2.7826e-07
0.00628868,2.08394e-08,301769,2.41799e+16,9283.61,2.7826e-07
0.00132583,3.70569e-09,357781,4.29991e+16,9283.61,2.7826e-07
0.00030514,6.58984e-10,463046,7.64641e+16,9283.61,2.7826e-07
0.000107887,1.17189e-10,920622,1.35973e+17,9283.61,2.7826e-07
3.06837e-05,2.08394e-11,1.47239e+06,2.41799e+17,9283.61,2.7826e-07
6.87775e-06,3.70569e-12,1.856e+06,4.29991e+17,9283.61,2.7826e-07
1.69388e-06,6.58984e-13,2.57044e+06,7.64641e+17,9283.61,2.7826e-07
3.36555e-07,1.17189e-13,2.8719e+06,1.35973e+18,9283.61,2.7826e-07
2.2564e-05,0.0248017,0.000909777,2.41799e+14,9283.61,3.5938e-07
0.000110006,0.00551183,0.0199582,4.29991e+14,9283.61,3.5938e-07
0.00160664,0.00107811,1.49024,7.64641e+14,9283.61,3.5938e-07
0.000468092,0.000195303,2.39675,1.35973e+15,9283.61,3.5938e-07
7.65192,3.47607e-05,220131,2.41799e+15,9283.61,3.5938e-07
0.403152,6.18124e-06,65222,4.29991e+15,9283.61,3.5938e-07
0.157031,1.09921e-06,142858,7.64641e+15,9283.61,3.5938e-07
0.0368796,1.95476e-07,188665,1.35973e+16,9283.61,3.5938e-07
0.0081475,3.47609e-08,234387,2.41799e+16,9283.61,3.5938e-07
0.00171748,6.18124e-09,277853,4.29991e+16,9283.61,3.5938e-07
0.000393916,1.09921e-09,358363,7.64641e+16,9283.61,3.5938e-07
0.000139562,1.95476e-10,713957,1.35973e+17,9283.61,3.5938e-07
3.96432e-05,3.47609e-11,1.14046e+06,2.41799e+17,9283.61,3.5938e-07
8.88495e-06,6.18124e-12,1.43741e+06,4.29991e+17,9283.61,3.5938e-07
2.18798e-06,1.09921e-12,1.9905e+06,7.64641e+17,9283.61,3.5938e-07
4.34742e-07,1.95476e-13,2.22402e+06,1.35973e+18,9283.61,3.5938e-07
3.00219e-05,0.0413723,0.000725652,2.41799e+14,9283.61,4.6416e-07
0.00014395,0.0091944,0.0156563,4.29991e+14,9283.61,4.6416e-07
0.00204212,0.00179841,1.13551,7.64641e+14,9283.61,4.6416e-07
0.00060805,0.000325789,1.86639,1.35973e+15,9283.61,4.6416e-07
9.92328,5.79851e-05,171135,2.41799e+15,9283.61,4.6416e-07
0.52102,1.03111e-05,50530.2,4.29991e+15,9283.61,4.6416e-07
0.202903,1.83362e-06,110657,7.64641e+15,9283.61,4.6416e-07
0.0476507,3.26078e-07,146133,1.35973e+16,9283.61,4.6416e-07
0.0105258,5.79853e-08,181524,2.41799e+16,9283.61,4.6416e-07
0.00221896,1.03111e-08,215202,4.29991e+16,9283.61,4.6416e-07
0.000508627,1.83362e-09,277389,7.64641e+16,9283.61,4.6416e-07
0.00018028,3.26078e-10,552873,1.35973e+17,9283.61,4.6416e-07
5.12061e-05,5.79853e-11,883088,2.41799e+17,9283.61,4.6416e-07
1.14759e-05,1.03111e-11,1.11297e+06,4.29991e+17,9283.61,4.6416e-07
2.82595e-06,1.83362e-12,1.54118e+06,7.64641e+17,9283.61,4.6416e-07
5.61494e-07,3.26078e-13,1.72196e+06,1.35973e+18,9283.61,4.6416e-07
4.02413e-05,0.0690118,0.000583108,2.41799e+14,9283.61,5.9948e-07
0.00018904,0.0153369,0.0123258,4.29991e+14,9283.61,5.9948e-07
0.00258244,0.00299988,0.860848,7.64641e+14,9283.61,5.9948e-07
0.000791074,0.000543439,1.45568,1.35973e+15,9283.61,5.9948e-07
12.8834,9.67232e-05,133199,2.41799e+15,9283.61,5.9948e-07
0.673516,1.71996e-05,39158.9,4.29991e+15,9283.61,5.9948e-07
0.262195,3.0586e-06,85723.7,7.64641e+15,9283.61,5.9948e-07
0.0615666,5.4392e-07,113190,1.35973e+16,9283.61,5.9948e-07
0.0135992,9.67235e-08,140599,2.41799e+16,9283.61,5.9948e-07
0.00286713,1.71996e-08,166698,4.29991e+16,9283.61,5.9948e-07
0.00065679,3.0586e-09,214735,7.64641e+16,9283.61,5.9948e-07
0.00023288,5.4392e-10,428151,1.35973e+17,9283.61,5.9948e-07
6.61346e-05,9.67235e-11,683749,2.41799e+17,9283.61,5.9948e-07
1.48215e-05,1.71996e-11,861740,4.29991e+17,9283.61,5.9948e-07
3.64987e-06,3.0586e-12,1.19331e+06,7.64641e+17,9283.61,5.9948e-07
7.25191e-07,5.4392e-13,1.33327e+06,1.35973e+18,9283.61,5.9948e-07
5.44204e-05,0.115119,0.000472731,2.41799e+14,9283.61,7.7426e-07
0.000249358,0.0255836,0.0097468,4.29991e+14,9283.61,7.7426e-07
0.00324361,0.00500412,0.648187,7.64641e+14,9283.61,7.7426e-07
0.00103131,0.000906514,1.13767,1.35973e+15,9283.61,7.7426e-07
16.7519,0.000161345,103827,2.41799e+15,9283.61,7.7426e-07
0.870888,2.86907e-05,30354.3,4.29991e+15,9283.61,7.7426e-07
0.338878,5.10208e-06,66419.6,7.64641e+15,9283.61,7.7426e-07
0.079563,9.07318e-07,87690.3,1.35973e+16,9283.61,7.7426e-07
0.0175718,1.61345e-07,108908,2.41799e+16,9283.61,7.7426e-07
0.00370507,2.86907e-08,129138,4.29991e+16,9283.61,7.7426e-07
0.00084797,5.10208e-09,166201,7.64641e+16,9283.61,7.7426e-07
0.000300846,9.07318e-10,331578,1.35973e+17,9283.61,7.7426e-07
8.54241e-05,1.61345e-10,529449,2.41799e+17,9283.61,7.7426e-07
1.91436e-05,2.86907e-11,667240,4.29991e+17,9283.61,7.7426e-07
4.71408e-06,5.10208e-12,923953,7.64641e+17,9283.61,7.7426e-07
9.36622e-07,9.07318e-13,1.0323e+06,1.35973e+18,9283.61,7.7426e-07
7.4368e-05,0.192032,0.000387269,2.41799e+14,9283.61,1e-06
0.00033075,0.0426764,0.00775018,4.29991e+14,9283.61,1e-06
0.0040362,0.00834746,0.483524,7.64641e+14,9283.61,1e-06
0.0013481,0.00151217,0.891499,1.35973e+15,9283.61,1e-06
21.822,0.000269142,81079.9,2.41799e+15,9283.61,1e-06
1.1265,4.78595e-05,23537.7,4.29991e+15,9283.61,1e-06
0.43807,8.51086e-06,51471.9,7.64641e+15,9283.61,1e-06
0.10283,1.51351e-06,67941.3,1.35973e+16,9283.61,1e-06
0.022709,2.69143e-07,84375.3,2.41799e+16,9283.61,1e-06
0.0047887,4.78595e-08,100058,4.29991e+16,9283.61,1e-06
0.0010947,8.51086e-09,128624,7.64641e+16,9283.61,1e-06
0.00038869,1.51351e-09,256813,1.35973e+17,9283.61,1e-06
0.00011034,2.69143e-10,409968,2.41799e+17,9283.61,1e-06
2.4727e-05,4.78595e-11,516659,4.29991e+17,9283.61,1e-06
6.0886e-06,8.51086e-12,715392,7.64641e+17,9283.61,1e-06
1.2098e-06,1.51351e-12,799333,1.35973e+18,9283.61,1e-06
3.17968e-19,3.27841e-20,9.69886,2.41799e+14,11604.5,4.6416e-16
1.32197e-18,7.66458e-21,172.478,4.29991e+14,11604.5,4.6416e-16
4.29924e-17,1.57062e-21,27372.9,7.64641e+14,11604.5,4.6416e-16
5.56667e-14,2.90599e-22,1.91558e+08,1.35973e+15,11604.5,4.6416e-16
2.09113e-12,5.18613e-23,4.03216e+10,2.41799e+15,11604.5,4.6416e-16
1.55503e-13,9.22249e-24,1.68613e+10,4.29991e+15,11604.5,4.6416e-16
8.5489e-13,1.64004e-24,5.21262e+11,7.64641e+15,11604.5,4.6416e-16
2.70522e-11,2.91653e-25,9.27547e+13,1.35973e+16,11604.5,4.6416e-16
6.28333e-12,5.18637e-26,1.21151e+14,2.41799e+16,11604.5,4.6416e-16
1.30847e-12,9.22249e-27,1.41878e+14,4.29991e+16,11604.5,4.6416e-16
2.93488e-13,1.64004e-27,1.78952e+14,7.64641e+16,11604.5,4.6416e-16
1.22859e-13,2.91653e-28,4.21249e+14,1.35973e+17,11604.5,4.6416e-16
4.67548e-14,5.18637e-29,9.01495e+14,2.41799e+17,11604.5,4.6416e-16
1.07991e-14,9.22249e-30,1.17096e+15,4.29991e+17,11604.5,4.6416e-16
2.72694e-15,1.64004e-30,1.66273e+15,7.64641e+17,11604.5,4.6416e-16
5.50494e-16,2.91653e-31,1.8875e+15,1.35973e+18,11604.5,4.6416e-16
4.29701e-19,5.46861e-20,7.85759,2.41799e+14,11604.5,5.9948e-16
1.77098e-18,1.2785e-20,138.52,4.29991e+14,11604.5,5.9948e-16
5.80866e-17,2.6199e-21,22171.3,7.64641e+14,11604.5,5.9948e-16
7.19256e-14,4.8474e-22,1.4838e+08,1.35973e+15,11604.5,5.9948e-16
2.79022e-12,8.65082e-23,3.22538e+10,2.41799e+15,11604.5,5.9948e-16
2.27922e-13,1.53837e-23,1.48158e+10,4.29991e+15,11604.5,5.9948e-16
1.14669e-12,2.7357e-24,4.19157e+11,7.64641e+15,11604.5,5.9948e-16
3.49461e-11,4.86497e-25,7.18321e+13,1.35973e+16,11604.5,5.9948e-16
8.11576e-12,8.65122e-26,9.38106e+13,2.41799e+16,11604.5,5.9948e-16
1.69011e-12,1.53837e-26,1.09864e+14,4.29991e+16,11604.5,5.9948e-16
3.79309e-13,2.7357e-27,1.38652e+14,7.64641e+16,11604.5,5.9948e-16
1.5927e-13,4.86497e-28,3.27381e+14,1.35973e+17,11604.5,5.9948e-16
6.03916e-14,8.65122e-29,6.98071e+14,2.41799e+17,11604.5,5.9948e-16
1.39475e-14,1.53837e-29,9.06639e+14,4.29991e+17,11604.5,5.9948e-16
3.52206e-15,2.7357e-30,1.28745e+15,7.64641e+17,11604.5,5.9948e-16
7.10983e-16,4.86497e-31,1.46143e+15,1.35973e+18,11604.5,5.9948e-16
5.86734e-19,9.12224e-20,6.43191,2.41799e+14,11604.5,7.7426e-16
2.39339e-18,2.13268e-20,112.224,4.29991e+14,11604.5,7.7426e-16
7.9292e-17,4.37028e-21,18143.5,7.64641e+14,11604.5,7.7426e-16
9.29577e-14,8.08598e-22,1.14961e+08,1.35973e+15,11604.5,7.7426e-16
3.75284e-12,1.44305e-22,2.60063e+10,2.41799e+15,11604.5,7.7426e-16
3.39559e-13,2.56618e-23,1.32321e+10,4.29991e+15,11604.5,7.7426e-16
1.55208e-12,4.56344e-24,3.40112e+11,7.64641e+15,11604.5,7.7426e-16
4.51471e-11,8.1153e-25,5.56321e+13,1.35973e+16,11604.5,7.7426e-16
1.04827e-11,1.44312e-25,7.26394e+13,2.41799e+16,11604.5,7.7426e-16
2.18318e-12,2.56618e-26,8.50753e+13,4.29991e+16,11604.5,7.7426e-16
4.90316e-13,4.56344e-27,1.07444e+14,7.64641e+16,11604.5,7.7426e-16
2.06696e-13,8.1153e-28,2.547e+14,1.35973e+17,11604.5,7.7426e-16
7.80067e-14,1.44312e-28,5.40543e+14,2.41799e+17,11604.5,7.7426e-16
1.80132e-14,2.56618e-29,7.01946e+14,4.29991e+17,11604.5,7.7426e-16
4.54909e-15,4.56344e-30,9.96855e+14,7.64641e+17,11604.5,7.7426e-16
9.18195e-16,8.1153e-31,1.13144e+15,1.35973e+18,11604.5,7.7426e-16
8.1077e-19,1.5217e-19,5.32807,2.41799e+14,11604.5,1e-15
3.2682e-18,3.55757e-20,91.8662,4.29991e+14,11604.5,1e-15
1.0954e-16,7.29013e-21,15025.8,7.64641e+14,11604.5,1e-15
1.2015e-13,1.34884e-21,8.90768e+07,1.35973e+15,11604.5,1e-15
5.0958e-12,2.40718e-22,2.11692e+10,2.41799e+15,11604.5,1e-15
5.1394e-13,4.28068e-23,1.2006e+10,4.29991e+15,11604.5,1e-15
2.1231e-12,7.61235e-24,2.78902e+11,7.64641e+15,11604.5,1e-15
5.833e-11,1.35373e-24,4.30885e+13,1.35973e+16,11604.5,1e-15
1.3541e-11,2.40729e-25,5.62501e+13,2.41799e+16,11604.5,1e-15
2.8203e-12,4.28068e-26,6.58844e+13,4.29991e+16,11604.5,1e-15
6.3398e-13,7.61235e-27,8.32831e+13,7.64641e+16,11604.5,1e-15
2.6862e-13,1.35373e-27,1.9843e+14,1.35973e+17,11604.5,1e-15
1.0076e-13,2.40729e-28,4.18563e+14,2.41799e+17,11604.5,1e-15
2.3265e-14,4.28068e-29,5.43488e+14,4.29991e+17,11604.5,1e-15
5.8758e-15,7.61235e-30,7.71878e+14,7.64641e+17,11604.5,1e-15
1.1859e-15,1.35373e-30,8.76026e+14,1.35973e+18,11604.5,1e-15
1.12708e-18,2.53815e-19,4.44056,2.41799e+14,11604.5,1.2915e-15
4.48189e-18,5.93392e-20,75.53,4.29991e+14,11604.5,1.2915e-15
1.5148e-16,1.21597e-20,12457.5,7.64641e+14,11604.5,1.2915e-15
1.5755e-13,2.24982e-21,7.00278e+07,1.35973e+15,11604.5,1.2915e-15
6.92037e-12,4.0151e-22,1.72358e+10,2.41799e+15,11604.5,1.2915e-15
7.81667e-13,7.14005e-23,1.09476e+10,4.29991e+15,11604.5,1.2915e-15
2.92589e-12,1.26972e-23,2.30436e+11,7.64641e+15,11604.5,1.2915e-15
7.53603e-11,2.25798e-24,3.33751e+13,1.35973e+16,11604.5,1.2915e-15
1.74908e-11,4.01529e-25,4.35605e+13,2.41799e+16,11604.5,1.2915e-15
3.64319e-12,7.14005e-26,5.10247e+13,4.29991e+16,11604.5,1.2915e-15
8.19948e-13,1.26972e-26,6.45771e+13,7.64641e+16,11604.5,1.2915e-15
3.49157e-13,2.25798e-27,1.54633e+14,1.35973e+17,11604.5,1.2915e-15
1.30157e-13,4.01529e-28,3.24155e+14,2.41799e+17,11604.5,1.2915e-15
3.00467e-14,7.14005e-29,4.2082e+14,4.29991e+17,11604.5,1.2915e-15
7.58898e-15,1.26972e-29,5.9769e+14,7.64641e+17,11604.5,1.2915e-15
1.53146e-15,2.25798e-30,6.78244e+14,1.35973e+18,11604.5,1.2915e-15
1.54167e-18,4.2342e-19,3.641,2.41799e+14,11604.5,1.6681e-15
6.03018e-18,9.89913e-20,60.9163,4.29991e+14,11604.5,1.6681e-15
2.01757e-16,2.02852e-20,9946,7.64641e+14,11604.5,1.6681e-15
2.20022e-13,3.75321e-21,5.86224e+07,1.35973e+15,11604.5,1.6681e-15
9.07413e-12,6.69811e-22,1.35473e+10,2.41799e+15,11604.5,1.6681e-15
1.162e-12,1.19112e-22,9.75548e+09,4.29991e+15,11604.5,1.6681e-15
4.00728e-12,2.11818e-23,1.89185e+11,7.64641e+15,11604.5,1.6681e-15
9.73453e-11,3.76682e-24,2.58428e+13,1.35973e+16,11604.5,1.6681e-15
2.25944e-11,6.69841e-25,3.3731e+13,2.41799e+16,11604.5,1.6681e-15
4.70638e-12,1.19112e-25,3.95121e+13,4.29991e+16,11604.5,1.6681e-15
1.06088e-12,2.11818e-26,5.00844e+13,7.64641e+16,11604.5,1.6681e-15
4.51671e-13,3.76682e-27,1.19908e+14,1.35973e+17,11604.5,1.6681e-15
1.68128e-13,6.69841e-28,2.50996e+14,2.41799e+17,11604.5,1.6681e-15
3.881e-14,1.19112e-28,3.25827e+14,4.29991e+17,11604.5,1.6681e-15
9.80209e-15,2.11818e-29,4.6276e+14,7.64641e+17,11604.5,1.6681e-15
1.97803e-15,3.76682e-30,5.2512e+14,1.35973e+18,11604.5,1.6681e-15
2.13447e-18,7.06286e-19,3.02211,2.41799e+14,11604.5,2.1544e-15
8.1906e-18,1.65122e-19,49.6032,4.29991e+14,11604.5,2.1544e-15
2.70743e-16,3.38367e-20,8001.47,7.64641e+14,11604.5,2.1544e-15
3.1172e-13,6.26054e-21,4.97912e+07,1.35973e+15,11604.5,2.1544e-15
1.19461e-11,1.11728e-21,1.06922e+10,2.41799e+15,11604.5,2.1544e-15
1.75497e-12,1.98685e-22,8.83294e+09,4.29991e+15,11604.5,2.1544e-15
5.5562e-12,3.53322e-23,1.57256e+11,7.64641e+15,11604.5,2.1544e-15
1.25739e-10,6.28324e-24,2.00119e+13,1.35973e+16,11604.5,2.1544e-15
2.91835e-11,1.11733e-24,2.6119e+13,2.41799e+16,11604.5,2.1544e-15
6.07972e-12,1.98685e-25,3.05998e+13,4.29991e+16,11604.5,2.1544e-15
1.37324e-12,3.53322e-26,3.88664e+13,7.64641e+16,11604.5,2.1544e-15
5.8451e-13,6.28324e-27,9.30269e+13,1.35973e+17,11604.5,2.1544e-15
2.17142e-13,1.11733e-27,1.94341e+14,2.41799e+17,11604.5,2.1544e-15
5.01243e-14,1.98685e-28,2.5228e+14,4.29991e+17,11604.5,2.1544e-15
1.26601e-14,3.53322e-29,3.58316e+14,7.64641e+17,11604.5,2.1544e-15
2.55469e-15,6.28324e-30,4.06588e+14,1.35973e+18,11604.5,2.1544e-15
2.99603e-18,1.17823e-18,2.54282,2.41799e+14,11604.5,2.7826e-15
1.12503e-17,2.75457e-19,40.8424,4.29991e+14,11604.5,2.7826e-15
3.66691e-16,5.64465e-20,6496.26,7.64641e+14,11604.5,2.7826e-15
4.48583e-13,1.04439e-20,4.29519e+07,1.35973e+15,11604.5,2.7826e-15
1.58074e-11,1.86384e-21,8.48107e+09,2.41799e+15,11604.5,2.7826e-15
2.6908e-12,3.31447e-22,8.11834e+09,4.29991e+15,11604.5,2.7826e-15
7.81131e-12,5.89414e-23,1.32527e+11,7.64641e+15,11604.5,2.7826e-15
1.62431e-10,1.04817e-23,1.54966e+13,1.35973e+16,11604.5,2.7826e-15
3.76987e-11,1.86393e-24,2.02254e+13,2.41799e+16,11604.5,2.7826e-15
7.85472e-12,3.31447e-25,2.36983e+13,4.29991e+16,11604.5,2.7826e-15
1.77878e-12,5.89414e-26,3.01788e+13,7.64641e+16,11604.5,2.7826e-15
7.56895e-13,1.04817e-26,7.2211e+13,1.35973e+17,11604.5,2.7826e-15
2.80514e-13,1.86393e-27,1.50496e+14,2.41799e+17,11604.5,2.7826e-15
6.474e-14,3.31447e-28,1.95325e+14,4.29991e+17,11604.5,2.7826e-15
1.63519e-14,5.89414e-29,2.77427e+14,7.64641e+17,11604.5,2.7826e-15
3.29961e-15,1.04817e-29,3.14796e+14,1.35973e+18,11604.5,2.7826e-15
4.25003e-18,1.96533e-18,2.1625,2.41799e+14,11604.5,3.5938e-15
1.55838e-17,4.59474e-19,33.9166,4.29991e+14,11604.5,3.5938e-15
4.94579e-16,9.41549e-20,5252.82,7.64641e+14,11604.5,3.5938e-15
6.48286e-13,1.74208e-20,3.72134e+07,1.35973e+15,11604.5,3.5938e-15
2.088e-11,3.10897e-21,6.71605e+09,2.41799e+15,11604.5,3.5938e-15
4.1361e-12,5.52867e-22,7.4812e+09,4.29991e+15,11604.5,3.5938e-15
1.11012e-11,9.83165e-23,1.12913e+11,7.64641e+15,11604.5,3.5938e-15
2.0982e-10,1.74839e-23,1.20008e+13,1.35973e+16,11604.5,3.5938e-15
4.86996e-11,3.10911e-24,1.56635e+13,2.41799e+16,11604.5,3.5938e-15
1.01478e-11,5.52867e-25,1.83549e+13,4.29991e+16,11604.5,3.5938e-15
2.3056e-12,9.83165e-26,2.34508e+13,7.64641e+16,11604.5,3.5938e-15
9.79957e-13,1.74839e-26,5.60491e+13,1.35973e+17,11604.5,3.5938e-15
3.62327e-13,3.10911e-27,1.16537e+14,2.41799e+17,11604.5,3.5938e-15
8.36169e-14,5.52867e-28,1.51242e+14,4.29991e+17,11604.5,3.5938e-15
2.11197e-14,9.83165e-29,2.14813e+14,7.64641e+17,11604.5,3.5938e-15
4.26153e-15,1.74839e-29,2.4374e+14,1.35973e+18,11604.5,3.5938e-15
6.06007e-18,3.27841e-18,1.84848,2.41799e+14,11604.5,4.6416e-15
2.16535e-17,7.66458e-19,28.2514,4.29991e+14,11604.5,4.6416e-15
6.48199e-16,1.57062e-19,4127.03,7.64641e+14,11604.5,4.6416e-15
9.25257e-13,2.90599e-20,3.18396e+07,1.35973e+15,11604.5,4.6416e-15
2.71613e-11,5.18613e-21,5.23729e+09,2.41799e+15,11604.5,4.6416e-15
6.28101e-12,9.22249e-22,6.81054e+09,4.29991e+15,11604.5,4.6416e-15
1.58655e-11,1.64004e-22,9.67383e+10,7.64641e+15,11604.5,4.6416e-15
2.71018e-10,2.91653e-23,9.2925e+12,1.35973e+16,11604.5,4.6416e-15
6.29076e-11,5.18637e-24,1.21294e+13,2.41799e+16,11604.5,4.6416e-15
1.31116e-11,9.22249e-25,1.4217e+13,4.29991e+16,11604.5,4.6416e-15
2.99068e-12,1.64004e-25,1.82354e+13,7.64641e+16,11604.5,4.6416e-15
1.26669e-12,2.91653e-26,4.34315e+13,1.35973e+17,11604.5,4.6416e-15
4.68013e-13,5.18637e-27,9.0239e+13,2.41799e+17,11604.5,4.6416e-15
1.08001e-13,9.22249e-28,1.17106e+14,4.29991e+17,11604.5,4.6416e-15
2.72782e-14,1.64004e-28,1.66327e+14,7.64641e+17,11604.5,4.6416e-15
5.50401e-15,2.91653e-29,1.88718e+14,1.35973e+18,11604.5,4.6416e-15
8.77879e-18,5.46861e-18,1.6053,2.41799e+14,11604.5,5.9948e-15
3.05117e-17,1.2785e-18,23.8652,4.29991e+14,11604.5,5.9948e-15
8.5294e-16,2.6199e-19,3255.62,7.64641e+14,11604.5,5.9948e-15
1.34164e-12,4.8474e-20,2.76775e+07,1.35973e+15,11604.5,5.9948e-15
